[runlim] version:		1.10
[runlim] time limit:		1800 seconds
[runlim] real time limit:	1800 seconds
[runlim] space limit:		30000 MB
[runlim] argv[0]:		/home/truongxuanhieu/anti-bandwidth-scl-extend/build/abw_enc
[runlim] argv[1]:		/home/truongxuanhieu/anti-bandwidth-scl-extend/build/BenchmarkSets/Benchmarks_Standard/P-can__445.mtx.rnd
[runlim] argv[2]:		--ladder
[runlim] argv[3]:		-symmetry-break
[runlim] argv[4]:		h
[runlim] argv[5]:		-set-lb
[runlim] argv[6]:		90
[runlim] argv[7]:		-set-ub
[runlim] argv[8]:		90
[runlim] start:			Mon Feb 24 11:34:11 2025
[runlim] main pid:		9341
[runlim] log captured:
c LadderEncoder 1.0.
c Symetry breaking in the highest degree node.
c LB is predefined as 90.
c UB is predefined as 90.
c Solving strategy: from LB to UB.
c LB-w = 78 (LB in Sinnl - A note on computational approaches for the antibandwidth problem).
c UB-w = 120 (UB in Sinnl - A note on computational approaches for the antibandwidth problem).
c LB 78 is overwritten with 90.
c UB 120 is overwritten with 90.
c Antibandwidth problem with w = 90 ( P-can__445.mtx.rnd ):
c Initializing CaDiCaL (version 1.2.1).
c	Configuring CaDiCaL as --sat (1).
c Initializing a Ladder encoder with n = 445.
c Encoding starts with w = 90:
c	Encode symmetry breaking with option: h.
c	Labels and Vertices aux var: 36490
c	Labels and Vertices constraints:  454345
c	Obj k aux var: 313280
c	Obj k constraints: 3671269
c	Obj k glue staircase constraints: 2374984
c	Encoding duration: 1s
c	Number of clauses: 4125836
c	Number of irredundant clauses: 4124437
c	Number of variables: 547795
c SAT Solving starts:
[runlim] sample:		10.0 time, 10.0 real, 685.4 MB
[runlim] sample:		20.0 time, 20.0 real, 694.8 MB
[runlim] sample:		30.0 time, 30.0 real, 721.9 MB
[runlim] sample:		40.0 time, 40.0 real, 732.6 MB
[runlim] sample:		50.0 time, 50.0 real, 726.9 MB
[runlim] sample:		60.0 time, 60.0 real, 731.8 MB
[runlim] sample:		70.0 time, 70.0 real, 840.0 MB
[runlim] sample:		80.0 time, 80.0 real, 712.0 MB
[runlim] sample:		90.0 time, 90.0 real, 709.4 MB
[runlim] sample:		100.0 time, 100.0 real, 740.9 MB
[runlim] sample:		110.0 time, 110.0 real, 740.8 MB
[runlim] sample:		120.0 time, 120.0 real, 756.6 MB
[runlim] sample:		130.0 time, 130.0 real, 825.8 MB
[runlim] sample:		140.0 time, 140.0 real, 786.9 MB
[runlim] sample:		150.0 time, 150.0 real, 970.6 MB
[runlim] sample:		160.0 time, 160.0 real, 772.0 MB
[runlim] sample:		170.0 time, 170.0 real, 742.3 MB
[runlim] sample:		180.0 time, 180.0 real, 765.0 MB
[runlim] sample:		190.0 time, 190.0 real, 765.0 MB
[runlim] sample:		200.0 time, 200.0 real, 809.5 MB
[runlim] sample:		210.0 time, 210.0 real, 804.2 MB
[runlim] sample:		220.0 time, 220.0 real, 804.2 MB
[runlim] sample:		230.0 time, 230.0 real, 925.8 MB
[runlim] sample:		240.0 time, 240.0 real, 944.2 MB
[runlim] sample:		250.0 time, 250.0 real, 864.8 MB
[runlim] sample:		260.0 time, 260.0 real, 879.7 MB
[runlim] sample:		270.0 time, 270.0 real, 883.8 MB
[runlim] sample:		280.0 time, 280.0 real, 923.4 MB
[runlim] sample:		290.0 time, 290.0 real, 792.2 MB
[runlim] sample:		300.0 time, 300.0 real, 847.3 MB
[runlim] sample:		310.0 time, 310.0 real, 848.1 MB
[runlim] sample:		320.0 time, 320.0 real, 850.1 MB
[runlim] sample:		330.0 time, 330.0 real, 846.3 MB
[runlim] sample:		340.0 time, 340.0 real, 823.8 MB
[runlim] sample:		350.0 time, 350.0 real, 823.8 MB
[runlim] sample:		360.0 time, 360.0 real, 901.1 MB
[runlim] sample:		370.0 time, 370.0 real, 824.9 MB
[runlim] sample:		380.0 time, 380.0 real, 824.9 MB
[runlim] sample:		390.0 time, 390.0 real, 824.9 MB
[runlim] sample:		400.0 time, 400.0 real, 906.6 MB
[runlim] sample:		410.0 time, 410.0 real, 888.9 MB
[runlim] sample:		420.0 time, 420.0 real, 866.3 MB
[runlim] sample:		430.0 time, 430.0 real, 866.3 MB
[runlim] sample:		439.9 time, 440.0 real, 968.8 MB
[runlim] sample:		449.9 time, 450.0 real, 968.8 MB
[runlim] sample:		460.0 time, 460.0 real, 955.2 MB
[runlim] sample:		469.9 time, 470.0 real, 955.1 MB
[runlim] sample:		479.9 time, 480.0 real, 900.2 MB
[runlim] sample:		490.0 time, 490.0 real, 860.6 MB
[runlim] sample:		499.9 time, 500.0 real, 860.6 MB
[runlim] sample:		510.0 time, 510.0 real, 893.5 MB
[runlim] sample:		520.0 time, 520.0 real, 1133.0 MB
[runlim] sample:		530.0 time, 530.0 real, 1069.5 MB
[runlim] sample:		540.0 time, 540.0 real, 1283.0 MB
[runlim] sample:		550.0 time, 550.0 real, 893.0 MB
[runlim] sample:		560.0 time, 560.0 real, 943.2 MB
[runlim] sample:		570.0 time, 570.0 real, 943.2 MB
[runlim] sample:		580.0 time, 580.0 real, 1102.6 MB
[runlim] sample:		590.0 time, 590.0 real, 1279.9 MB
[runlim] sample:		600.0 time, 600.0 real, 1733.6 MB
[runlim] sample:		609.9 time, 610.0 real, 1733.6 MB
[runlim] sample:		619.9 time, 620.0 real, 1700.4 MB
[runlim] sample:		629.9 time, 630.0 real, 1204.0 MB
[runlim] sample:		639.9 time, 640.0 real, 1204.0 MB
[runlim] sample:		649.9 time, 650.0 real, 1204.0 MB
[runlim] sample:		659.9 time, 660.0 real, 1463.5 MB
[runlim] sample:		669.9 time, 670.0 real, 1463.5 MB
[runlim] sample:		679.9 time, 680.0 real, 1463.5 MB
[runlim] sample:		689.9 time, 690.0 real, 1600.7 MB
[runlim] sample:		699.9 time, 700.0 real, 1600.7 MB
[runlim] sample:		709.9 time, 710.0 real, 1600.7 MB
[runlim] sample:		719.9 time, 720.0 real, 1600.7 MB
[runlim] sample:		729.9 time, 730.0 real, 1691.1 MB
[runlim] sample:		739.9 time, 740.0 real, 2418.5 MB
[runlim] sample:		749.9 time, 750.0 real, 2418.5 MB
[runlim] sample:		759.9 time, 760.0 real, 2099.8 MB
[runlim] sample:		769.9 time, 770.0 real, 2099.8 MB
[runlim] sample:		779.9 time, 780.0 real, 2099.8 MB
[runlim] sample:		789.9 time, 790.0 real, 2099.8 MB
[runlim] sample:		799.9 time, 800.0 real, 2099.8 MB
[runlim] sample:		809.9 time, 810.0 real, 2099.8 MB
[runlim] sample:		819.9 time, 820.0 real, 1701.0 MB
[runlim] sample:		829.9 time, 830.0 real, 1423.7 MB
[runlim] sample:		839.9 time, 840.0 real, 1423.7 MB
[runlim] sample:		849.9 time, 850.0 real, 1423.7 MB
[runlim] sample:		859.9 time, 860.0 real, 1423.7 MB
[runlim] sample:		869.9 time, 870.0 real, 1423.7 MB
[runlim] sample:		879.9 time, 880.0 real, 1423.7 MB
[runlim] sample:		889.9 time, 890.0 real, 1423.7 MB
[runlim] sample:		899.9 time, 900.0 real, 2664.1 MB
[runlim] sample:		909.9 time, 910.0 real, 1986.7 MB
[runlim] sample:		919.9 time, 920.0 real, 1986.7 MB
[runlim] sample:		929.9 time, 930.0 real, 1986.7 MB
[runlim] sample:		939.9 time, 940.0 real, 1986.7 MB
[runlim] sample:		949.9 time, 950.0 real, 1862.4 MB
[runlim] sample:		959.9 time, 960.0 real, 1862.4 MB
[runlim] sample:		969.9 time, 970.0 real, 1457.9 MB
[runlim] sample:		979.9 time, 980.0 real, 1457.9 MB
[runlim] sample:		989.9 time, 990.0 real, 1457.9 MB
[runlim] sample:		999.9 time, 1000.0 real, 1436.0 MB
[runlim] sample:		1009.9 time, 1010.0 real, 1436.0 MB
[runlim] sample:		1019.9 time, 1020.0 real, 1436.0 MB
[runlim] sample:		1029.9 time, 1030.0 real, 1500.2 MB
[runlim] sample:		1039.9 time, 1040.0 real, 1500.2 MB
[runlim] sample:		1049.9 time, 1050.0 real, 1500.2 MB
[runlim] sample:		1059.9 time, 1060.0 real, 1500.2 MB
[runlim] sample:		1069.9 time, 1070.0 real, 1534.2 MB
[runlim] sample:		1079.9 time, 1080.0 real, 1534.2 MB
[runlim] sample:		1089.9 time, 1090.0 real, 1534.2 MB
[runlim] sample:		1099.9 time, 1100.0 real, 1439.0 MB
[runlim] sample:		1109.9 time, 1110.0 real, 1439.0 MB
[runlim] sample:		1119.9 time, 1120.0 real, 1439.0 MB
[runlim] sample:		1129.9 time, 1130.0 real, 1471.3 MB
[runlim] sample:		1139.9 time, 1140.0 real, 1471.3 MB
[runlim] sample:		1149.9 time, 1150.0 real, 1327.2 MB
[runlim] sample:		1159.9 time, 1160.0 real, 1327.2 MB
[runlim] sample:		1169.9 time, 1170.0 real, 1433.4 MB
